n,seed,T,kernel,family,gap,C_kT,C_far
10,2,0.3,shell(eps=4),oracle,0.08853272345212293,0.10632507643855924,0.00041005729083446396
10,2,0.1,uniform,naive,0.0009806045713091072,1.8405878449185026e-15,1.7162750255181842e-11
10,2,0.1,single-flip,local,6.482814285391214e-12,6.188622823028929e-14,0.0
10,2,0.1,add-delete-swap,local,5.4858340092778235e-12,4.0398053056684276e-14,0.0
10,2,0.1,quench,quench,0.07273537576711153,5.2216734757497403e-14,3.8123916417448835e-10
10,2,0.1,"demon(L=4,Td=1)",local,2.914879448923102e-11,3.0950557905016645e-14,7.825641671827485e-20
10,2,0.1,"demon(L=4,Td=8)",local,0.0004586704653927187,8.854237247603548e-14,9.640113451413355e-15
10,2,0.1,"dlp(t=.5,a=3)",informed,0.0,1.4758408963681599e-15,7.220091363932494e-16
10,2,0.1,"dlp(t=.05,a=3)",informed,0.0016365875174213507,5.91885816232248e-14,7.661329604927474e-12
10,2,0.1,"dlp(t=0,a=3)",naive,0.0018448510976540877,2.424981264787774e-15,2.193725231152681e-11
10,2,0.1,"softspin(c=.1,a=30)",informed,0.013404574736735508,9.409304168938776e-15,4.1830180957083324e-11
10,2,0.1,"softspin(c=1,a=30)",informed,0.00018726160567772432,1.535887433797847e-13,6.216980798400084e-14
10,2,0.1,shell(eps=2),oracle,0.1493406308028774,1.449231781102128e-13,2.1889322674005293e-09
10,2,0.1,shell(eps=3),oracle,0.13326521654522872,1.0546727014778806e-13,1.1706394471075753e-09
10,2,0.1,shell(eps=4),oracle,0.07724141818521879,8.318341798648166e-14,9.75056195648574e-10
10,3,1.0,uniform,naive,0.002286775528261953,0.0015342405813744788,0.0003295710220865168
10,3,1.0,single-flip,local,9.450304214719818e-05,0.10023429262162642,0.0
10,3,1.0,add-delete-swap,local,0.0004947466047202642,0.06305982778609998,0.0
10,3,1.0,quench,quench,0.05184428648127537,0.1495230490458996,0.006982978259875844
10,3,1.0,"demon(L=4,Td=1)",local,0.0004166555299415231,0.3289247963050559,0.007022617815511369
10,3,1.0,"demon(L=4,Td=8)",local,0.0018716409412675716,0.14477117647126464,0.010609901039721746
10,3,1.0,"dlp(t=.5,a=3)",informed,8.651071010912226e-05,0.23726844479666315,0.003615530479081095
10,3,1.0,"dlp(t=.05,a=3)",informed,0.002751213842660305,0.01221427239701713,0.0014223206280240515
10,3,1.0,"dlp(t=0,a=3)",naive,0.0040397118476892535,0.0026257460474842795,0.00042457349950679257
10,3,1.0,"softspin(c=.1,a=30)",informed,0.0014479762862720236,0.025163996696165248,0.0022932156129643194
10,3,1.0,"softspin(c=1,a=30)",informed,2.193113353354814e-05,0.38707066046098865,5.295980183855971e-05
10,3,1.0,shell(eps=2),oracle,0.0,1.0,0.0719653485936108
10,3,1.0,shell(eps=3),oracle,0.0538329240129376,0.3040493075355288,0.041368432144157544
10,3,1.0,shell(eps=4),oracle,0.060526778383091284,0.21824934859127962,0.03418602451313187
10,3,0.3,uniform,naive,0.0018102524805285736,0.0009774945897726716,1.6279889168795073e-06
10,3,0.3,single-flip,local,3.0440094889172542e-12,0.09997085957468563,0.0
10,3,0.3,add-delete-swap,local,9.818131692096443e-07,0.061536173647318594,0.0
10,3,0.3,quench,quench,0.04768186147326403,0.1420575801153591,3.87225981937504e-05
10,3,0.3,"demon(L=4,Td=1)",local,1.3829937195453113e-11,0.36757108160871477,2.561061613632174e-05
10,3,0.3,"demon(L=4,Td=8)",local,6.70472520836185e-07,0.27153193248249685,5.040514712798399e-05
10,3,0.3,"dlp(t=.5,a=3)",informed,8.504308368628699e-14,0.4414934114569496,1.4857277175611924e-07
10,3,0.3,"dlp(t=.05,a=3)",informed,6.870890300714194e-06,0.06487770480552749,2.9629237857839806e-05
10,3,0.3,"dlp(t=0,a=3)",naive,0.0033940880360634473,0.00183852035495458,2.1945613666711177e-06
10,3,0.3,"softspin(c=.1,a=30)",informed,0.00028596383145695903,0.020653905950830016,1.3857864151632037e-05
10,3,0.3,"softspin(c=1,a=30)",informed,1.9208317159069566e-09,0.40214084713437753,3.962572055077939e-07
10,3,0.3,shell(eps=2),oracle,0.0,0.9995193448020393,0.00041634077341909213
10,3,0.3,shell(eps=3),oracle,0.14715480349101862,0.2500335553515815,0.00023798506363012343
10,3,0.3,shell(eps=4),oracle,0.13721117112834513,0.16674582532004864,0.0002079560870572
10,3,0.1,uniform,naive,0.00158036993919064,0.0009765625004298111,7.991248948925043e-13
10,3,0.1,single-flip,local,0.0,0.09999999999067126,0.0
10,3,0.1,add-delete-swap,local,5.662137425588298e-15,0.06242147610255019,0.0
